name,lat,lon,type
Badge_A,51.21166262694606,-0.6080474731046823,TOB32
Workshop2_B,51.21157018082562,-0.6078355070500067,TOB32
Workshop1_A,51.21315810602589,-0.6090332351419567,TOB32
Badge_A,51.211681286344835,-0.6081041781986534,TOB32
HackCenter_C,51.21111373646102,-0.607262283879761,TOB32
Retrogamming_B,51.2118373375294,-0.6083714958871079,TOB32
Retrogamming_C,51.21182300269099,-0.6083003431844669,TOB32
Retrogamming_D,51.21179518392808,-0.6082295969964072,TOB32
Retrogamming_A,51.21187227339429,-0.6082845410274355,TOB32
Retrogamming_Dist,51.211750407859064,-0.6082452636958777,EPS63-3
Retrogamming_E,51.211764742730146,-0.6083164162692969,TOB32
HackCenter_A,51.211182584407446,-0.6070025054109683,TOB32
HackCenter_B,51.21113934159189,-0.6071469775348947,TOB32
HackCenter_Dist,51.21114713845466,-0.607046525086026,EPS32-2
Bar_A,51.211606818832635,-0.6078916698564856,TOB32
Bar_A,51.21172129551294,-0.6076877811951096,TOB32
Bar_Dist,51.211649892294744,-0.6077328851717247,TOB32
Catering,51.21157235860288,-0.6072627662088314,GBR-3
H2_DK2,51.21338860078971,-0.6076962002002837,TOB32
G2_DK2,51.2133782038289,-0.608485404637397,TOB32
H2_DK1,51.213402983589496,-0.607695766441835,TOB32
H1_DK2,51.21381915530033,-0.6077562349615461,TOB32
J1_DK1,51.21407849756461,-0.6083912766081396,TOB16
H1_DK1,51.213833538099415,-0.6077558012151357,TOB32
A2_DK2,51.212240533069775,-0.6088532821440719,TOB32
B2_DK1,51.21239866281684,-0.608085414117651,TOB32
A1_DK2,51.212849055880575,-0.6093603898666274,TOB32
A2_DK1,51.21225491587945,-0.6088528487638561,TOB32
C2_DK2,51.21251256983789,-0.6073045575890795,TOB32
G2_DK1,51.21339258663352,-0.608484971124977,TOB32
B2_DK2,51.21238428001219,-0.6080858477391662,TOB32
C2_DK1,51.21252785156241,-0.6073040966054917,TOB32
Xdis,51.213181640402944,-0.6079873575274674,SPEC-4
Ydis,51.21175755570156,-0.6069565239208525,SPEC-4
HQ_Dist,51.21171260945351,-0.6069578800548705,EPS32
NOC_A,51.211694290231875,-0.6069297989519207,TOB16
HQ_B,51.21166800392007,-0.606987859724821,TOB16
NOC_B,51.21166732248311,-0.6069306126465229,TOB16
K2,51.21130448709059,-0.6078005681012153,EPS32-2
K2_DK1,51.21129285213758,-0.6078052139746143,TOB16
K1,51.21191888879024,-0.6076675054520856,EPS32-2
K1_DK1,51.21194409275052,-0.6076696087706511,TOB16
HQ_A,51.21169497166949,-0.6069870460636367,TOB16
Showers,51.21106034690236,-0.6080656307175155,EPS32-2
A2_Adapter,51.212456773959104,-0.6090400479257513,SSB/32
G1_Adapter,51.21362588750331,-0.6090477762410951,SSB/32
B_Dist,51.213195532709015,-0.6076433214697704,SBR
B2_Adapter,51.212473532170634,-0.6081805135808196,SSB/32
StageB_DistA,51.21312075835783,-0.6081610015234967,EPS63-3
StageC_DistA,51.212292623824816,-0.6077135029553145,EPS63-3
StageC_DistB,51.21233171325129,-0.6075977872327503,EPS63-3
StageA_DistA,51.21186617296639,-0.6066382732952137,EPS63-3
StageA_DistB,51.212014495559465,-0.6066337969884005,EPS63-3
StageB_DistB,51.2131836831219,-0.6081591044792943,EPS63-3
StageC_DistB,51.212242180762175,-0.6073284627881689,EPS63-3
StageC_DistB,51.212123859534586,-0.6072847856511073,EPS63-3
StageC_DistB,51.21201610396557,-0.6072221778802289,EPS63-3
StageB_A,51.213103460702044,-0.608218792423018,TOB32
StageB_B,51.212322213144276,-0.6075551224116109,TOB32
StageA_A,51.211853370675605,-0.6066959275313456,TOB32
Green_Room,51.2120392886541,-0.6072057297421496,TOB16
Green_Room,51.21226538249628,-0.6073134458161039,TOB16
Green_Room,51.21214784096258,-0.6072597232356501,TOB16
H1_Adapter,51.21379069617923,-0.6077828648319621,SSB/32
C2_Adapter,51.2125533791281,-0.6073333926346809,SSB/32
Kids_Dist,51.21347031783849,-0.6080645581768747,EPS63-3
Kids_A,51.213479647542876,-0.6080929118248874,TOB32
Kids_B,51.21351492363337,-0.6080345783374114,TOB32
Kids_C,51.213587178102216,-0.6080610348012592,TOB32
StageB_Dist,51.21306750369268,-0.6082198763995245,EPS63-3
